1,0.79,0.82,0.47,0.5,0.44,0.35,0.44,0.54,0.46,0.58,0.33,0.66,0.62,0.51
0.79,1,0.77,0.43,0.49,0.42,0.36,0.41,0.56,0.41,0.61,0.32,0.65,0.61,0.49
0.82,0.77,1,0.46,0.51,0.46,0.4,0.48,0.55,0.45,0.6,0.36,0.73,0.62,0.48
0.47,0.43,0.46,1,0.57,0.54,0.39,0.51,0.5,0.37,0.41,0.24,0.49,0.38,0.31
0.5,0.49,0.51,0.57,1,0.61,0.31,0.61,0.55,0.31,0.52,0.23,0.58,0.43,0.33
0.44,0.42,0.46,0.54,0.61,1,0.53,0.67,0.63,0.4,0.47,0.23,0.63,0.43,0.41
0.35,0.36,0.4,0.39,0.31,0.53,1,0.55,0.49,0.47,0.3,0.29,0.46,0.41,0.48
0.44,0.41,0.48,0.51,0.61,0.67,0.55,1,0.49,0.43,0.43,0.27,0.55,0.44,0.34
0.54,0.56,0.55,0.5,0.55,0.63,0.49,0.49,1,0.47,0.55,0.28,0.63,0.53,0.52
0.46,0.41,0.45,0.37,0.31,0.4,0.47,0.43,0.47,1,0.33,0.36,0.46,0.42,0.42
0.58,0.61,0.6,0.41,0.52,0.47,0.3,0.43,0.55,0.33,1,0.27,0.6,0.51,0.42
0.33,0.32,0.36,0.24,0.23,0.23,0.29,0.27,0.28,0.36,0.27,1,0.39,0.47,0.36
0.66,0.65,0.73,0.49,0.58,0.63,0.46,0.55,0.63,0.46,0.6,0.39,1,0.66,0.55
0.62,0.61,0.62,0.38,0.43,0.43,0.41,0.44,0.53,0.42,0.51,0.47,0.66,1,0.71
0.51,0.49,0.48,0.31,0.33,0.41,0.48,0.34,0.52,0.42,0.42,0.36,0.55,0.71,1
